Tester,Site type,Name of Sampling Location,7 day average of SARS-CoV-2 concentration,Number of samples in the last 7 days,SARS-CoV-2 Detected,Sample collection date,Units (measuring concentration),City of sampling location,State of sampling location,County of sampling location,Date data last updated,Week Start Date,Week End Date,Group,Subgroup,Estimated population,Percent of the population,Week case rate,Cumulative cases,Cumulative case rate,Deaths during this week,Week death rate,Cumulative deaths,Cumulative death rate,Confirmed deaths,Confirmed cases,County,Population,Cases during this week_y,Cumulative confirmed cases,Cumulative tests,Tests during the week,Positive tests the week,Week percent positivity,Weekly case rate,Weekly testing rate
BioBot,Municipal,SESD-Peabody Metering Station,700826.2936712914,4,Detected,2023-10-15,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody Metering Station,582213.4034761145,3,Detected,2023-08-06,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Hull WWTF,788220.2168961292,3,Detected,2023-08-10,copies/L,Hull,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Lynn WWTF,1963794.1973798412,3,Detected,2023-12-01,copies/L,Lynn,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Wareham WPCF,2277113.644922589,4,Detected,2023-12-13,copies/L,Wareham,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Wareham WPCF,477561.0474755357,4,Detected,2023-10-19,copies/L,Wareham,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Wareham WPCF,685965.2396622106,3,Detected,2023-10-12,copies/L,Wareham,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Pittsfield WWTP,1060982.246352632,4,Detected,2023-10-05,copies/L,Pittsfield,MA,Berkshire,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Race and Hispanic ethnicity,"Hispanic, all races",878944.17459859,0.125029097069096,64.28167070542712,3786.0,430.7440801606143,2,0.2275457370103615,19,2.161684501598434,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Race and Hispanic ethnicity,"Asian, not Hispanic",510096.11066676,0.0725607586673517,28.426015601347498,806.0,158.00943844611092,0,0.0,4,0.7841659476233793,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Race and Hispanic ethnicity,"Black or African-American, not Hispanic",476930.24482827,0.0678429411094903,46.33801324123956,1554.0,325.83381256509625,0,0.0,1,0.2096742680599075,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Race and Hispanic ethnicity,"Alaskan Native or American Indian, not Hispanic",9939.37961473,0.001413868701302,0.0,18.0,181.09782197396197,0,0.0,1-4,0.0,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Race and Hispanic ethnicity,"Other race, not Hispanic",0.0,0.0,0.0,951.0,0.0,2,0.0,8,0.0,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Race and Hispanic ethnicity,"Native Hawaiian or Pacific Islander, not Hispanic",1841.11872003,0.0002618976469893,0.0,8.0,434.5184214883028,0,0.0,0,0.0,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Race and Hispanic ethnicity,"White, not Hispanic",4826116.28353641,0.686511133151993,30.50071555510407,9720.0,201.40418151875784,25,0.5180148701614141,134,2.77655970406518,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Race and Hispanic ethnicity,Unknown race,0.0,0.0,0.0,7988.0,0.0,0,0.0,0,0.0,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Reported sex or gender,Female,3618900.25598128,0.0514786,57.86288241957095,14369.0,397.05432544738056,15,0.4144905617447775,93,2.569841482817621,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Reported sex or gender,Male,3411016.74096262,0.0485214,46.05664877378027,9943.0,291.4966637541039,14,0.410434807659404,74,2.169441126199707,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Reported sex or gender,Transgender,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Reported sex or gender,Unknown sex,0.0,0.0,0.0,518.0,0.0,0,0.0,0,0.0,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Age,<5 years,356878.9331,0.050765739,94.99019655077532,2150.0,602.4451993633244,0,0.0,0,0.0,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Age,5-19 years,1208696.36,0.171936078,48.48198599688014,2121.0,175.4783145040662,0,0.0,0,0.0,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Age,20-34 years,1510757.646,0.214904052,42.164274441143554,4173.0,276.21902235932816,0,0.0,1,0.0661919535967716,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Age,35-49 years,1307950.041,0.186054834,38.457126360532,3554.0,271.7229166706376,0,0.0,2,0.1529110392068866,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Age,50-64 years,1444570.402,0.20548897,40.9810417810291,4471.0,309.5037800726032,1,0.0692247327382248,12,0.8306967928586979,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Age,65-79 years,899365.7143,0.127934045,70.49412601785235,5019.0,558.0599660624621,7,0.7783263124999472,44,4.89233682142824,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Age,80+ years,301697.9003,0.042916282,144.84688145507786,3343.0,1108.062070261614,21,6.960605287314955,108,35.79739862047691,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,MWRA Northern,659351.5252872172,7,Detected,2023-09-16,copies/L,Winthrop,MA,Suffolk,2024-02-29,2023-09-10,2023-09-16,Age,Unknown age,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,26.0,2686.0,Suffolk,797935.9991,261.0,2049.0,20794.0,2530.0,291.0,0.1150197628458498,32.70939026367836,317.0680358892959
BioBot,Municipal,Billerica Treatment Plant,496530.4239266601,2,Detected,2023-08-16,copies/L,Billerica,MA,Middlesex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,486371.2570120814,7,Detected,2023-11-27,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Southern,881052.437783626,7,Detected,2023-10-04,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Amherst WWTP,1185804.5052499438,2,Detected,2023-09-07,copies/L,Hadley,MA,Hampshire,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Greater Lawrence Sanitary District,998267.5990051506,3,Detected,2023-11-28,copies/L,North Andover,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,S.Deerfield WWTP,43013.48286045979,3,Detected,2023-08-02,copies/L,Deerfield,MA,Franklin,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Lynn WWTF,1113717.2386779943,2,Detected,2023-10-19,copies/L,Lynn,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,392016.3733590955,7,Detected,2023-10-19,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Fall River WWTP,121196.31493584052,5,Detected,2023-08-02,copies/L,Fall River,MA,Bristol,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Wareham WPCF,707547.3528637015,4,Detected,2024-01-24,copies/L,Wareham,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,478164.67576698255,7,Detected,2024-02-26,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Fitchburg Public Works,1615359.2370559443,4,Detected,2023-10-04,copies/L,Fitchburg,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody/Salem Pump,1451337.0959697731,4,Detected,2024-01-25,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody/Salem Pump,340109.36042499996,4,Detected,2023-07-19,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Fall River WWTP,509524.0530200912,3,Detected,2023-12-20,copies/L,Fall River,MA,Bristol,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Wareham WPCF,724976.5098716508,3,Detected,2023-11-29,copies/L,Wareham,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Brockton/ Abington,313304.49227714096,3,Detected,2023-09-28,copies/L,Brockton,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Haverhill WWTP,756851.7477133514,4,Detected,2023-08-23,copies/L,Haverhill,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,1104367.6669677605,7,Detected,2023-12-17,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Southern,770063.328695739,7,Detected,2023-10-05,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Brockton/ Abington,346437.52995,4,Detected,2023-07-18,copies/L,Brockton,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Uxbridge WWTF,1855051.949275457,3,Detected,2023-12-13,copies/L,Uxbridge,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,1277611.3533628595,7,Detected,2023-12-22,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,South Hadley Div. of WPC,151169.959905,4,Detected,2023-07-24,copies/L,Chicopee,MA,Hampden,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody Metering Station,297972.842025,4,Detected,2023-07-05,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Southern,262670.413,3,Detected,2023-07-06,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Plymouth Headworks Influent,1617560.5597959713,3,Detected,2024-01-10,copies/L,Plymouth,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Southern,516614.0089986836,7,Detected,2023-11-12,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Plymouth Headworks Influent,1093005.9748333544,4,Detected,2024-01-17,copies/L,Plymouth,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody Metering Station,1454930.940450084,4,Detected,2024-02-18,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Greenfield WPCF,725311.2476774654,2,Detected,2023-10-27,copies/L,Greenfield,MA,Franklin,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,1987571.3916085393,7,Detected,2023-12-26,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Race and Hispanic ethnicity,"Hispanic, all races",878944.17459859,0.125029097069096,27.077942704233017,702.0,79.86855369063689,1,0.1137728685051807,3,0.3413186055155422,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Race and Hispanic ethnicity,"Asian, not Hispanic",510096.11066676,0.0725607586673517,9.409991371480553,149.0,29.21018154897088,0,0.0,1,0.1960414869058448,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Race and Hispanic ethnicity,"Black or African-American, not Hispanic",476930.24482827,0.0678429411094903,18.241661321211957,253.0,53.0475898191566,0,0.0,0,0.0,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Race and Hispanic ethnicity,"Alaskan Native or American Indian, not Hispanic",9939.37961473,0.001413868701302,0.0,0.0,0.0,0,0.0,1-4,0.0,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Race and Hispanic ethnicity,"Other race, not Hispanic",0.0,0.0,0.0,141.0,0.0,2,0.0,4,0.0,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Race and Hispanic ethnicity,"Native Hawaiian or Pacific Islander, not Hispanic",1841.11872003,0.0002618976469893,0.0,0.0,0.0,0,0.0,0,0.0,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Race and Hispanic ethnicity,"White, not Hispanic",4826116.28353641,0.686511133151993,12.287312720228742,1801.0,37.31779124642828,4,0.0828823792258262,23,0.4765736805485011,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Race and Hispanic ethnicity,Unknown race,0.0,0.0,0.0,1405.0,0.0,0,0.0,0,0.0,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Reported sex or gender,Female,3618900.25598128,0.0514786,24.7865355923377,2596.0,71.73449988596283,2,0.055265408232637,16,0.442123265861096,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Reported sex or gender,Male,3411016.74096262,0.0485214,16.73987679810855,1771.0,51.92000316891461,5,0.1465838598783586,16,0.4690683516107474,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Reported sex or gender,Transgender,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Reported sex or gender,Unknown sex,0.0,0.0,0.0,85.0,0.0,0,0.0,0,0.0,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Age,<5 years,356878.9331,0.050765739,32.78422712814369,370.0,103.67661570438604,0,0.0,0,0.0,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Age,5-19 years,1208696.36,0.171936078,7.528772569481386,273.0,22.58631770844416,0,0.0,0,0.0,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Age,20-34 years,1510757.646,0.214904052,18.004211378321894,756.0,50.041116919159386,0,0.0,0,0.0,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Age,35-49 years,1307950.041,0.186054834,16.820214312757532,653.0,49.9254543010485,0,0.0,1,0.0764555196034433,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Age,50-64 years,1444570.402,0.20548897,19.590599364917622,834.0,57.73342710367951,0,0.0,1,0.0692247327382248,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Age,65-79 years,899365.7143,0.127934045,34.46873669642623,923.0,102.62788377677876,1,0.1111894732142781,7,0.7783263124999472,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Age,80+ years,301697.9003,0.042916282,64.96564934827292,644.0,213.45856214432527,6,1.9887443678042729,23,7.623520076583047,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,SESD-Peabody Metering Station,451675.3734666666,3,Detected,2023-07-29,copies/L,Salem,MA,Essex,2024-02-29,2023-07-23,2023-07-29,Age,Unknown age,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,6.0,1045.0,Essex,809829.0011,130.0,384.0,6337.0,1754.0,140.0,0.0798175598631698,16.05277161270089,216.5889339129028
BioBot,Municipal,South Hadley Div. of WPC,389955.98842888884,4,Detected,2023-11-01,copies/L,Chicopee,MA,Hampden,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,2796788.599904407,7,Detected,2024-01-01,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Fall River WWTP,501488.26109933644,4,Detected,2023-11-30,copies/L,Fall River,MA,Bristol,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,South Hadley Div. of WPC,731376.6896388084,4,Detected,2023-11-13,copies/L,Chicopee,MA,Hampden,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Billerica Treatment Plant,2065574.1345758429,2,Detected,2023-12-20,copies/L,Billerica,MA,Middlesex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,South Hadley Div. of WPC,129909.23748721248,4,Detected,2023-08-02,copies/L,Chicopee,MA,Hampden,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Athol WWTP,1295868.2686045978,3,Detected,2023-09-07,copies/L,Athol,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Fall River WWTP,116233.40063965469,4,Detected,2023-10-12,copies/L,Fall River,MA,Bristol,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,1056394.5060733794,7,Detected,2024-01-26,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody/Salem Pump,1516517.8563915615,4,Detected,2023-12-10,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Amherst WWTP,284650.58395,2,Detected,2023-07-13,copies/L,Hadley,MA,Hampshire,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody Metering Station,2668780.1297353655,4,Detected,2023-12-10,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody/Salem Pump,234924.895,4,Detected,2023-07-05,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Upper Blackstone Clean Water,1265624.5581782204,4,Detected,2024-01-31,copies/L,Worcester,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody/Salem Pump,1101803.498773306,4,Detected,2024-02-22,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
