Tester,Site type,Name of Sampling Location,7 day average of SARS-CoV-2 concentration,Number of samples in the last 7 days,SARS-CoV-2 Detected,Sample collection date,Units (measuring concentration),City of sampling location,State of sampling location,County of sampling location,Date data last updated,Week Start Date,Week End Date,Group,Subgroup,Estimated population,Percent of the population,Week case rate,Cumulative cases,Cumulative case rate,Deaths during this week,Week death rate,Cumulative deaths,Cumulative death rate,Confirmed deaths,Confirmed cases,County,Population,Cases during this week_y,Cumulative confirmed cases,Cumulative tests,Tests during the week,Positive tests the week,Week percent positivity,Weekly case rate,Weekly testing rate
BioBot,Municipal,Montague Clean Water Facility,534252.9090526272,4,Detected,2023-11-22,copies/L,Montague,MA,Franklin,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody/Salem Pump,963364.5840910828,4,Detected,2023-09-07,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,South Hadley Div. of WPC,1338971.1444262136,4,Detected,2023-12-18,copies/L,Chicopee,MA,Hampden,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Wareham WPCF,920395.2321771916,4,Detected,2023-11-30,copies/L,Wareham,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,South Hadley Div. of WPC,410833.062647495,4,Detected,2023-10-02,copies/L,Chicopee,MA,Hampden,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Fitchburg Public Works,2329032.24167321,4,Detected,2023-11-02,copies/L,Fitchburg,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Southern,1723713.62514754,7,Detected,2024-01-08,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Greater Lawrence Sanitary District,1274290.9800063907,4,Detected,2024-01-23,copies/L,North Andover,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Southern,392143.6424927724,7,Detected,2023-10-25,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Fitchburg Public Works,639496.9255577368,4,Detected,2023-11-15,copies/L,Fitchburg,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,S.Deerfield WWTP,434737.6284980015,3,Detected,2024-01-31,copies/L,Deerfield,MA,Franklin,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,South Hadley Div. of WPC,84818.64175249999,4,Detected,2023-07-05,copies/L,Chicopee,MA,Hampden,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,South Hadley Div. of WPC,1425573.6625457616,4,Detected,2024-01-31,copies/L,Chicopee,MA,Hampden,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Amherst WWTP,2423581.753219283,2,Detected,2024-01-04,copies/L,Hadley,MA,Hampshire,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Brockton/ Abington,583053.0086904229,4,Detected,2023-08-24,copies/L,Brockton,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Race and Hispanic ethnicity,"Hispanic, all races",878944.17459859,0.125029097069096,47.67083190367072,7446.0,847.1527788895758,1,0.1137728685051807,46,5.233551951238314,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Race and Hispanic ethnicity,"Asian, not Hispanic",510096.11066676,0.0725607586673517,12.938738135785758,1561.0,306.02076106002374,0,0.0,10,1.960414869058448,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Race and Hispanic ethnicity,"Black or African-American, not Hispanic",476930.24482827,0.0678429411094903,26.418957775548343,2863.0,600.2974294555153,1,0.2096742680599075,7,1.4677198764193524,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Race and Hispanic ethnicity,"Alaskan Native or American Indian, not Hispanic",9939.37961473,0.001413868701302,0.0,34.0,342.0736637285948,0,0.0,1-4,0.0,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Race and Hispanic ethnicity,"Other race, not Hispanic",0.0,0.0,0.0,1897.0,0.0,0,0.0,16,0.0,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Race and Hispanic ethnicity,"Native Hawaiian or Pacific Islander, not Hispanic",1841.11872003,0.0002618976469893,0.0,15.0,814.7220402905676,0,0.0,0,0.0,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Race and Hispanic ethnicity,"White, not Hispanic",4826116.28353641,0.686511133151993,25.672816965199683,21048.0,436.1270794862978,17,0.3522501117097616,354,7.335090561485624,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Race and Hispanic ethnicity,Unknown race,0.0,0.0,0.0,16052.0,0.0,0,0.0,1,0.0,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Reported sex or gender,Female,3618900.25598128,0.0514786,44.98604230136653,29507.0,815.35820036021,13,0.3592251535121405,234,6.46605276321853,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Reported sex or gender,Male,3411016.74096262,0.0485214,33.069318788557695,20311.0,595.4529555978683,6,0.1759006318540303,201,5.892671167110015,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Reported sex or gender,Transgender,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Reported sex or gender,Unknown sex,0.0,0.0,0.0,1096.0,0.0,0,0.0,0,0.0,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Age,<5 years,356878.9331,0.050765739,70.33197443729972,4403.0,1233.751726882194,0,0.0,0,0.0,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Age,5-19 years,1208696.36,0.171936078,23.99279170494068,4553.0,376.6868297675687,0,0.0,1,0.0827337644997954,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
